game_name,metascore,critic_reviews,user_score,user_score_rating,developer,game_genre,num_players,Cheats,rating_number
Ikaruga,88,25,7.7,62,"Treasure,Zereo","Action,Shooter,Shoot-'Em-Up,Vertical",No Online Multiplayer,On GameFAQs,E10+
Cave Story +,88,12,7.9,171,Nicalis,"Action,Platformer,2D",No Online Multiplayer,On GameFAQs,E10+
Stardew Valley,87,14,8.7,600,ConcernedApe,"Role-Playing,General",No Online Multiplayer,On GameFAQs,E10+
Quake Remastered,87,8,8.2,37,"id Software,MachineGames","Action,Shooter,First-Person,Arcade",Up to 8,On GameFAQs,M
Cuphead,87,40,8.4,437,Studio MDHR,"Action,Platformer,2D",No Online Multiplayer,On GameFAQs,E10+
Astral Chain,87,92,8.9,3374,PlatinumGames,"Action Adventure,General",No Online Multiplayer,On GameFAQs,T
Dragon Ball FighterZ,87,24,7.7,178,Arc System Works,"Action,Fighting,2D",Up to 6,On GameFAQs,T
Kentucky Route Zero: TV Edition,87,19,7.3,75,Cardboard Computer,"Adventure,General",No Online Multiplayer,On GameFAQs,T
Guacamelee! 2,87,17,8.2,68,DrinkBox Studios,"Action,Platformer,2D",Up to 4,On GameFAQs,
Enter the Gungeon,87,18,8,238,Dodge Roll,"Action,General,Shooter,Shoot-'Em-Up,Top-Down",No Online Multiplayer,On GameFAQs,T
The Legend of Zelda: Link's Awakening,87,111,8.4,1450,"Nintendo,GREZZO","Action Adventure,Open-World",No Online Multiplayer,On GameFAQs,E
Super Mega Baseball 3,87,9,8,31,Metalhead Software,"Sports,Team,Baseball,Arcade",Up to 4,On GameFAQs,E
Overcooked! All You Can Eat,87,8,7.9,21,Ghost Town Games Ltd.,"Miscellaneous,Compilation",Up to 4,On GameFAQs,E
OlliOlli World,87,13,6.7,26,roll7,"Action,Platformer,2D",No Online Multiplayer,On GameFAQs,E10+
Axiom Verge,87,15,8.3,146,Tom Happ,"Action,Action Adventure,General,Platformer",No Online Multiplayer,On GameFAQs,E10+
Grindstone,87,13,7.6,19,Capy Games,"Puzzle,General",No Online Multiplayer,On GameFAQs,T
Katamari Damacy REROLL,87,23,8.1,103,Bandai Namco Games,"Action Adventure,General",No Online Multiplayer,On GameFAQs,E
Owlboy,87,27,7.3,168,BlitWorks,"Action Adventure,General",No Online Multiplayer,On GameFAQs,E10+
Velocity 2X,87,13,8.1,29,FuturLab,"Action,General,Shooter,Shoot-'Em-Up,Top-Down",No Online Multiplayer,On GameFAQs,E10+
Streets of Rage 4,87,16,8.5,172,"DotEmu,Seaven Studio,Guard Crush Games,Lizardcube","General,Action,Beat-'Em-Up,2D",2,On GameFAQs,T
There is no game : Wrong dimension,87,10,8,26,Draw Me A Pixel,"Adventure,General,Point-and-Click",No Online Multiplayer,On GameFAQs,E10+
Iconoclasts,87,9,7.9,71,"Joakim Sandberg,MP2 Games","Action,Action Adventure,Platformer,Open-World",No Online Multiplayer,On GameFAQs,T
Bustafellows,86,7,5.6,10,eXtend,"Adventure,Visual Novel",No Online Multiplayer,On GameFAQs,M
Rocket League,86,32,7.8,364,Psyonix,"Sports,Team,Soccer,Arcade",Up to 8,On GameFAQs,E
The Great Ace Attorney Chronicles,86,48,7.6,232,Capcom,"Miscellaneous,Compilation",No Online Multiplayer,On GameFAQs,T
Overboard!,86,15,7.8,10,inkle,"Adventure,General",No Online Multiplayer,On GameFAQs,T
The Messenger,86,42,8.4,205,Sabotage Studio,"Action,Platformer,2D",No Online Multiplayer,On GameFAQs,E10+
Disco Elysium: The Final Cut,86,19,8.3,55,ZA/UM,"Role-Playing,General,Western-Style",No Online Multiplayer,On GameFAQs,M
Unpacking,86,9,7.4,19,Witch Beam,"Puzzle,Action,General",,On GameFAQs,E
Donkey Kong Country: Tropical Freeze,86,75,8.6,689,Retro Studios,"Action,Platformer,2D",No Online Multiplayer,On GameFAQs,E
Monster Boy and the Cursed Kingdom,86,22,8,139,FDG Entertainment,"Action Adventure,General",No Online Multiplayer,On GameFAQs,E10+
